Variable,Units
surface_flux.t0,K
shortwave_rad.gse,W/m²/K
humidity.qsat,g/kg
mod_radcon.flux.3,W/m²
shortwave_rad.ftop,W/m²
date.model_year,year
date.model_step,1
date.tyear,year
shortwave_rad.zenit,radian
condensation.dqlsc,g/kg/s
convection.se,J/kg
v_wind,m/s
shortwave_rad.rsns,W/m²
shortwave_rad.dfabs,W/m²
surface_flux.ustr.1,N/m²
mod_radcon.flux.2,W/m²
shortwave_rad.compute_shortwave,bool
mod_radcon.ablco2,1
mod_radcon.alb_l,1
surface_flux.rlus.1,W/m²
surface_flux.tskin,K
mod_radcon.st4a.0,W/m²
mod_radcon.flux.1,W/m²
surface_flux.tsfc,K
shortwave_rad.qcloud,1
surface_flux.evap.0,kg/m²/s
shortwave_rad.cloudstr,1
convection.cbmf,kg/m²/s
shortwave_rad.rsds,W/m²
surface_flux.shf.0,W/m²
surface_flux.shf.2,W/m²
longwave_rad.dfabs,W/m²
surface_flux.rlns,W/m²
mod_radcon.albsfc,1
convection.precnv,g/m²/s
surface_flux.shf.1,W/m²
mod_radcon.snowc,1
u_wind,m/s
specific_humidity,g/kg
surface_flux.hfluxn.0,W/m²
shortwave_rad.cloudc,1
surface_flux.ustr.2,N/m²
surface_flux.ustr.0,N/m²
mod_radcon.st4a.1,W/m²
shortwave_rad.fsol,W/m²
mod_radcon.tau2.1,1
shortwave_rad.ozone,ppmv
surface_flux.v0,m/s
surface_flux.hfluxn.1,W/m²
humidity.rh,1
surface_flux.vstr.0,N/m²
normalized_surface_pressure,1
surface_flux.evap.1,kg/m²/s
mod_radcon.tau2.3,1
shortwave_rad.stratz,W/m²
mod_radcon.alb_s,1
shortwave_rad.icltop,model level index
surface_flux.vstr.1,N/m²
mod_radcon.stratc.0,W/m²
convection.iptop,model level index
surface_flux.vstr.2,N/m²
longwave_rad.ftop,W/m²
shortwave_rad.ozupp,Dobson Unit
surface_flux.rlds,W/m²
mod_radcon.flux.0,W/m²
geopotential,m²/s²
condensation.dtlsc,K/s
surface_flux.rlus.2,W/m²
land_model.stl_am,K
mod_radcon.tau2.0,1
condensation.precls,kg/m²/s
mod_radcon.tau2.2,1
surface_flux.u0,m/s
surface_flux.rlus.0,W/m²
temperature,K
land_model.stl_lm,K
surface_flux.evap.2,kg/m²/s
mod_radcon.stratc.1,W/m²
